Date | Time | Message Type | First Two Words | Elapsed Time | Unique ID
2023-09-28 | 18:24:41.616 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:25:11.622 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:25:11.836 | [DBG] | GWS Request | 00:00:00.2140122 | batchy
2023-09-28 | 18:25:12.086 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:25:42.089 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:25:42.400 | [DBG] | GWS Request | 00:00:00.3110178 | batchy
2023-09-28 | 18:25:42.650 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:26:15.927 | [DBG] | GWS Request | 00:00:03.2641867 | batchy
2023-09-28 | 18:26:16.120 | [DBG] | GWS Request | 00:00:00.1930110 | batchy
2023-09-28 | 18:26:16.370 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:26:46.551 | [DBG] | GWS Request | 00:00:00.1760101 | batchy
2023-09-28 | 18:26:46.746 | [DBG] | GWS Request | 00:00:00.1950111 | batchy
2023-09-28 | 18:26:46.965 | [DBG] | GWS Request | 00:00:00.2190126 | batchy
2023-09-28 | 18:26:53.075 | [DBG] | Competition synchronization | 00:00:02.0145724 | batchy
2023-09-28 | 18:26:53.079 | [DBG] | Competition synchronization | 00:00:02.0172078 | batchy
2023-09-28 | 18:26:53.079 | [DBG] | Competition synchronization | 00:00:02.0175446 | batchy
2023-09-28 | 18:26:53.084 | [DBG] | Competition synchronization | 00:00:02.0227657 | batchy
2023-09-28 | 18:27:16.969 | [DBG] | GWS Request | 00:00:00.0030001 | batchy
2023-09-28 | 18:27:17.153 | [DBG] | GWS Request | 00:00:00.1840105 | batchy
2023-09-28 | 18:27:17.403 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:27:47.420 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:27:47.654 | [DBG] | GWS Request | 00:00:00.2340134 | batchy
2023-09-28 | 18:27:47.904 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:28:31.496 | [DBG] | GWS Request | 00:00:13.5797767 | batchy
2023-09-28 | 18:28:31.750 | [DBG] | GWS Request | 00:00:00.2540145 | batchy
2023-09-28 | 18:28:32.000 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:29:02.004 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:29:02.220 | [DBG] | GWS Request | 00:00:00.2160123 | batchy
2023-09-28 | 18:29:02.470 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:29:32.487 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:29:32.690 | [DBG] | GWS Request | 00:00:00.2030116 | batchy
2023-09-28 | 18:29:32.909 | [DBG] | GWS Request | 00:00:00.2190125 | batchy
2023-09-28 | 18:30:02.923 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:30:03.129 | [DBG] | GWS Request | 00:00:00.2060118 | batchy
2023-09-28 | 18:30:03.379 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:30:47.976 | [DBG] | GWS Request | 00:00:14.5898345 | batchy
2023-09-28 | 18:30:48.224 | [DBG] | GWS Request | 00:00:00.2480142 | batchy
2023-09-28 | 18:30:48.505 | [DBG] | GWS Request | 00:00:00.2810161 | batchy
2023-09-28 | 18:31:18.520 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:31:18.756 | [DBG] | GWS Request | 00:00:00.2360135 | batchy
2023-09-28 | 18:31:19.006 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:31:49.018 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:31:49.227 | [DBG] | GWS Request | 00:00:00.2090120 | batchy
2023-09-28 | 18:31:49.477 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:31:55.014 | [DBG] | Competition synchronization | 00:00:01.9226461 | batchy
2023-09-28 | 18:31:55.024 | [DBG] | Competition synchronization | 00:00:01.9326433 | batchy
2023-09-28 | 18:31:55.025 | [DBG] | Competition synchronization | 00:00:01.9338588 | batchy
2023-09-28 | 18:31:55.030 | [DBG] | Competition synchronization | 00:00:01.9382467 | batchy
2023-09-28 | 18:32:19.486 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:32:19.759 | [DBG] | GWS Request | 00:00:00.2730156 | batchy
2023-09-28 | 18:32:20.009 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:32:52.570 | [DBG] | GWS Request | 00:00:02.5571463 | batchy
2023-09-28 | 18:32:52.761 | [DBG] | GWS Request | 00:00:00.1900109 | batchy
2023-09-28 | 18:32:52.979 | [DBG] | GWS Request | 00:00:00.2180125 | batchy
2023-09-28 | 18:33:22.993 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:33:23.199 | [DBG] | GWS Request | 00:00:00.2060118 | batchy
2023-09-28 | 18:33:23.449 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:33:53.461 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:33:53.700 | [DBG] | GWS Request | 00:00:00.2390137 | batchy
2023-09-28 | 18:33:53.982 | [DBG] | GWS Request | 00:00:00.2820162 | batchy
2023-09-28 | 18:34:23.990 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:34:24.201 | [DBG] | GWS Request | 00:00:00.2110121 | batchy
2023-09-28 | 18:34:24.483 | [DBG] | GWS Request | 00:00:00.2820161 | batchy
2023-09-28 | 18:35:08.102 | [DBG] | GWS Request | 00:00:13.6167788 | batchy
2023-09-28 | 18:35:08.297 | [DBG] | GWS Request | 00:00:00.1940111 | batchy
2023-09-28 | 18:35:08.515 | [DBG] | GWS Request | 00:00:00.2180125 | batchy
2023-09-28 | 18:35:38.528 | [DBG] | GWS Request | 00:00:00.0030001 | batchy
2023-09-28 | 18:35:38.798 | [DBG] | GWS Request | 00:00:00.2700155 | batchy
2023-09-28 | 18:35:39.017 | [DBG] | GWS Request | 00:00:00.2190125 | batchy
2023-09-28 | 18:36:09.025 | [DBG] | GWS Request | 00:00:00.0020002 | batchy
2023-09-28 | 18:36:09.237 | [DBG] | GWS Request | 00:00:00.2120121 | batchy
2023-09-28 | 18:36:09.518 | [DBG] | GWS Request | 00:00:00.2810161 | batchy
2023-09-28 | 18:36:39.524 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:36:39.738 | [DBG] | GWS Request | 00:00:00.2140122 | batchy
2023-09-28 | 18:36:39.988 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:36:56.471 | [DBG] | Competition synchronization | 00:00:01.4401778 | batchy
2023-09-28 | 18:36:56.472 | [DBG] | Competition synchronization | 00:00:01.4414028 | batchy
2023-09-28 | 18:36:56.477 | [DBG] | Competition synchronization | 00:00:01.4460455 | batchy
2023-09-28 | 18:37:22.600 | [DBG] | GWS Request | 00:00:12.6117213 | batchy
2023-09-28 | 18:37:22.833 | [DBG] | GWS Request | 00:00:00.2330133 | batchy
2023-09-28 | 18:37:23.084 | [DBG] | GWS Request | 00:00:00.2510144 | batchy
2023-09-28 | 18:37:53.095 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:37:53.304 | [DBG] | GWS Request | 00:00:00.2090120 | batchy
2023-09-28 | 18:37:53.554 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:38:23.561 | [DBG] | GWS Request | 00:00:00.0020002 | batchy
2023-09-28 | 18:38:23.774 | [DBG] | GWS Request | 00:00:00.2130121 | batchy
2023-09-28 | 18:38:23.993 | [DBG] | GWS Request | 00:00:00.2190126 | batchy
2023-09-28 | 18:38:53.996 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:38:54.243 | [DBG] | GWS Request | 00:00:00.2470141 | batchy
2023-09-28 | 18:38:54.493 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:39:39.125 | [DBG] | GWS Request | 00:00:14.6168360 | batchy
2023-09-28 | 18:39:39.339 | [DBG] | GWS Request | 00:00:00.2130122 | batchy
2023-09-28 | 18:39:39.558 | [DBG] | GWS Request | 00:00:00.2190126 | batchy
2023-09-28 | 18:40:09.563 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:40:09.809 | [DBG] | GWS Request | 00:00:00.2460141 | batchy
2023-09-28 | 18:40:10.059 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:40:40.061 | [DBG] | GWS Request | 00:00:00.0020002 | batchy
2023-09-28 | 18:40:40.247 | [DBG] | GWS Request | 00:00:00.1860106 | batchy
2023-09-28 | 18:40:40.497 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:41:10.513 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:41:10.717 | [DBG] | GWS Request | 00:00:00.2040117 | batchy
2023-09-28 | 18:41:10.967 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:41:54.571 | [DBG] | GWS Request | 00:00:13.5927774 | batchy
2023-09-28 | 18:41:54.782 | [DBG] | GWS Request | 00:00:00.2110121 | batchy
2023-09-28 | 18:41:55.032 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:41:57.951 | [DBG] | Competition synchronization | 00:00:01.4758136 | batchy
2023-09-28 | 18:41:57.952 | [DBG] | Competition synchronization | 00:00:01.4768580 | batchy
2023-09-28 | 18:41:57.957 | [DBG] | Competition synchronization | 00:00:01.4812546 | batchy
2023-09-28 | 18:42:25.034 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:42:25.251 | [DBG] | GWS Request | 00:00:00.2170124 | batchy
